scope,class_id,class_name,num_samples,avg_sequence_length,median_sequence_length,avg_segment_duration,median_segment_duration,avg_ts_masked_points,median_ts_masked_points,avg_ts_mask_ratio,median_ts_mask_ratio,avg_ts_mask_physical_duration,median_ts_mask_physical_duration,avg_fs_mask_ratio,median_fs_mask_ratio,avg_fs_mask_physical_duration,median_fs_mask_physical_duration,fully_masked_ts_sample_ratio,fully_masked_fs_channel_ratio,rate,split
class,0,Walk,13002,9.952853407168128,10.0,280.16635902168895,273.0,9.939624673127211,10.0,0.9987152131995234,1.0,279.8129916493034,272.7272727272727,0.690646068048583,0.7045454545454545,193.94847550371318,197.72727272727275,0.9920781418243347,0.08758267958775573,30,
class,1,Bike,13081,10.217873251280484,10.0,284.9627704303952,300.0,10.21145172387432,10.0,0.9993295134224727,1.0,284.7899568682555,300.0,0.6644838780909226,0.6818181818181818,189.7649648066388,190.90909090909093,0.9948780674260378,0.06448283770353948,30,
class,2,Bus,13108,10.20773573390296,10.0,285.8294171498322,300.0,10.194919133353677,10.0,0.9987476034374875,1.0,285.48324991600475,300.0,0.6785670086364318,0.7,194.55510463205331,197.72727272727272,0.990768996032957,0.08246872139151663,30,
class,3,Car,13095,9.873463153875525,10.0,276.6585719740359,272.0,9.84520809469263,10.0,0.9971295511158055,1.0,275.8909812547556,272.0,0.6275741721474826,0.6363636363636364,173.6197203709489,177.2,0.981672394043528,0.05693012600229095,30,
class,4,Train,11571,10.108115115374643,10.0,283.8643159623196,282.0,10.07950911762164,10.0,0.9969067254392637,1.0,283.0172466794193,281.0,0.5544979725835961,0.55,157.3615683125438,158.83333333333331,0.9852216748768473,0.03314320283467289,30,
class,0,Walk,12749,5.385128245352576,5.0,267.38426543258294,247.0,5.384500745156483,5.0,0.9998849582973828,1.0,267.35414542317045,247.0,0.5333614401129501,0.6000000000000001,142.69852798912333,150.0,0.9994509373284179,0.13350066671895836,60,
class,1,Bike,12983,5.576292074250944,6.0,277.86728799198954,300.0,5.576215050450589,6.0,0.999987162699941,1.0,277.86343680197183,300.0,0.5279930165087678,0.5833333333333333,146.55615676910833,150.0,0.9999229761996457,0.14540167911884772,60,
class,2,Bus,13074,5.525470399265719,6.0,275.1572586813523,300.0,5.525087960838305,6.0,0.9999337106725819,1.0,275.1371271225333,300.0,0.537178751720973,0.6000000000000001,148.0738845545867,150.0,0.9996940492580695,0.12840370200397735,60,
class,3,Car,13058,5.218180425792617,5.0,256.72155000765815,243.0,5.216036146423648,5.0,0.9995890131209476,1.0,256.61915811507635,243.0,0.5318048961045592,0.6000000000000001,136.36076351661816,150.0,0.9978557206310308,0.16842165722162658,60,
class,4,Train,10922,5.4921259842519685,5.0,273.29893792345723,300.0,5.487639626442044,5.0,0.9991057803821034,1.0,273.08201794543123,300.0,0.5166994750656168,0.5833333333333333,140.97040606116096,150.0,0.9955136421900751,0.1863898553378502,60,
