scope,class_id,class_name,num_samples,avg_sequence_length,median_sequence_length,avg_segment_duration,median_segment_duration,avg_ts_masked_points,median_ts_masked_points,avg_ts_mask_ratio,median_ts_mask_ratio,avg_ts_mask_physical_duration,median_ts_mask_physical_duration,avg_fs_mask_ratio,median_fs_mask_ratio,avg_fs_mask_physical_duration,median_fs_mask_physical_duration,fully_masked_ts_sample_ratio,fully_masked_fs_channel_ratio,rate,split
overall,,,61142,47.86047234307023,54.0,275.3052402603775,296.0,37.2051781099735,41.0,0.8073954523706859,0.819672131147541,219.61257397099396,231.47540983606547,0.7661496161139217,0.7887931034482759,211.54955343525518,223.16939890710384,0.15017500245330542,0.01107258512969808,5,train
overall,,,63618,26.34389638152724,30.0,276.472492061995,291.00000000000006,25.228928919488194,28.0,0.9612090851916504,1.0,265.25892350008934,280.64516129032256,0.7462687510410864,0.7661290322580645,207.40952335217656,217.75862068965517,0.5533968373730705,0.018988336634285893,10,train
overall,,,64055,14.277870579970338,15.0,279.6292248848646,282.00000000000006,14.212114589025056,15.0,0.9954065139060456,1.0,278.34417574888187,282.0,0.7019936804851624,0.71875,196.94548295625398,203.0769230769231,0.9640933572710951,0.043127000234173755,20,train
overall,,,63857,10.07131559578433,10.0,282.2621012574972,276.0,10.053698106707174,10.0,0.9981948313399839,1.0,281.7727945875232,275.0,0.6452030311526922,0.6590909090909092,182.41763377317903,189.0,0.9890066868158541,0.06565059429663153,30,train
overall,,,62786,5.437772751887364,5.0,269.9818430860383,255.0,5.436323384193929,5.0,0.999719151827902,1.0,269.9117090858897,255.0,0.5298240584419031,0.6000000000000001,142.99680993108865,150.0,0.9985824865415857,0.15136336125887936,60,train
class,0,Walk,13068,49.86861034588307,58.0,279.3223905723906,296.0,39.34955616773799,44.0,0.814797217754281,0.819672131147541,225.84012637139588,235.47540983606555,0.8384174123743712,0.8592329545454546,234.9025109757875,251.18506371814095,0.13337924701561066,0.012913223140495868,5,
class,1,Bike,13084,46.89727911953531,58.0,260.54547538978903,296.0,37.745643534087435,43.0,0.8394219163211146,0.8333333333333334,214.29847522519555,227.98360655737704,0.8308188660457573,0.848360655737705,217.6899972586114,243.44262295081967,0.21560684805869765,0.0215721491898502,5,
class,2,Bus,12853,53.90865945693612,60.0,293.8155294483778,299.9999999999999,40.096708939547185,43.0,0.7589787760392966,0.7837837837837838,222.98773381995065,231.02564102564108,0.7273708481342145,0.7295081967213115,214.26824336684444,215.44262295081967,0.03524468995565238,0.002372986851318758,5,
class,3,Car,13097,44.53516072382988,48.0,274.26464075742535,294.99999999999994,35.33374055127128,38.0,0.8219314323724358,0.8461538461538461,222.7628751104506,237.59649122807016,0.73787353540351,0.7448979591836735,202.8913826299301,213.7179487179487,0.1464457509353287,0.007768954722455524,5,
class,4,Train,9040,42.57002212389381,47.0,266.0504424778761,294.99999999999994,31.923230088495576,33.0,0.798121258393274,0.8360655737704918,208.93863477403252,226.16666666666666,0.664183610170088,0.7045454545454546,177.58215578283887,193.5426361713379,0.24856194690265487,0.010370575221238939,5,
class,0,Walk,13059,26.2687035760778,30.0,279.78084079944864,291.0,25.19710544452102,28.0,0.9632338996221964,1.0,269.184752156418,280.64516129032256,0.8115503734592191,0.8306451612903225,228.05530000425733,239.91666666666666,0.5737039589555096,0.03087908721954208,10,
class,1,Bike,13085,25.52548719908292,30.0,265.1512418800153,291.0,24.680932365303782,28.0,0.9712608386434822,1.0,256.84411241920725,280.64516129032256,0.7878166919080724,0.8043478260869565,210.60533078211904,229.58333333333331,0.5957202904088651,0.027264042797095912,10,
class,2,Bus,13011,28.23241872261932,30.0,292.390976865729,300.0,26.93866728153101,28.0,0.9562431190695129,0.967741935483871,279.5450525771127,289.9999999999999,0.7284485185588356,0.7333333333333334,213.47876696439315,215.32258064516128,0.46837291522557833,0.007070939973868266,10,
class,3,Car,13095,26.277510500190914,29.0,275.30515463917527,291.0,25.169606720122186,27.0,0.9610110500524991,1.0,263.88159667306905,280.64516129032256,0.7374500653387865,0.75,203.43036491085434,212.58620689655172,0.5717449408171058,0.01563573883161512,10,
class,4,Train,11368,25.287297677691765,28.0,268.8287297677692,291.0,24.007741027445462,26.0,0.9532249375664394,1.0,255.6705769086949,280.0,0.6540073348460901,0.6774193548387096,177.65141406560423,190.1787994891443,0.5575299085151302,0.013304890921885996,10,
class,0,Walk,13038,14.179552078539654,15.0,280.55974842767296,282.0,14.11573861021629,15.0,0.9956983396007787,1.0,279.35720692356676,281.00000000000006,0.7567739464318216,0.7700320512820513,212.93117164544051,219.33333333333331,0.9703942322442093,0.06555836784782942,20,
class,1,Bike,13080,14.159862385321102,15.0,275.3142201834862,284.0,14.13394495412844,15.0,0.998174627042173,1.0,274.81241126005744,283.0,0.729144351470183,0.734375,201.55449210482539,208.1416666666667,0.9825688073394495,0.048222477064220184,20,
class,2,Bus,13109,14.794797467388817,15.0,289.144709741399,300.0,14.725989778015105,15.0,0.995369544932822,1.0,287.8413232442497,300.0,0.7235090796951924,0.7333333333333334,209.69697903299436,212.30769230769232,0.9554504538866427,0.04216568769547639,20,
class,3,Car,13095,14.091714394807179,15.0,276.3663993890798,282.0,14.001985490645284,15.0,0.9937516234137082,1.0,274.60095720642687,281.25,0.6928232160377062,0.7000000000000001,191.42479471013692,195.66071428571428,0.9518136693394426,0.038201603665521194,20,
class,4,Train,11733,14.148896275462372,15.0,276.4157504474559,282.0,14.066734850421888,15.0,0.9938846247079436,1.0,274.7225034873079,282.0,0.5970491632942092,0.609375,165.95825051101275,168.75,0.9598568141140373,0.01909145146168925,20,
