variant,rate_seconds,b0_accuracy,v3_accuracy,accuracy_delta,b0_macro_f1,v3_macro_f1,macro_f1_delta
v3_adaptive,20,0.7439,0.7486,0.0047000000000000375,0.6905,0.6937,0.0031999999999999806
v3_adaptive,60,0.6846,0.671,-0.013599999999999945,0.6293,0.6219,-0.007399999999999962
